site_id,site_code,sample_id,latitude,longitude,river_basin,catchment_subcatchment,river_name,modification_state,modification_group,river_type,reference_site,serial_date,day,month,year,date,elevation,flow[m3/s],velocity[m/s],suspended_solids[mg/l],pH,temp[°C],D.O.[mg/l],D.O.[%],BOD7[mg/L],ChDS_C[mg/L],NH4_N[mg/L],NO2_N[mg/L],NO3_N[mg/L],mineral_N[mg/L],total_N[mg/L],PO4_P[mg/L],total_P[mg/L],EC[µS/cm],alkalinity[mmol/l]
LTR1,LTR1_2009,LTR1_5.1.2009,54.03061287,23.96838870,Nemunas,Small tributaries of the Nemunas,Nemunas,N,,4,FALSE,1/5/2009,5,1,2009,5.1.2009,89.411026,98.3,0.57,12,8.2,0.1,10.7,73.238,2.9,,0.19,0.018,1.6,1.808,2.5,0.068,0.098,474,3.5
LTR1,LTR1_2009,LTR1_2.2.2009,54.03061287,23.96838870,Nemunas,Small tributaries of the Nemunas,Nemunas,N,,4,FALSE,2/2/2009,2,2,2009,2.2.2009,89.411026,211,0.6,17,8.1,0.1,10.1,69.131,3.1,,0.29,0.018,1.6,1.908,2.5,0.073,0.1,434,3.6
LTR1,LTR1_2009,LTR1_2.3.2009,54.03061287,23.96838870,Nemunas,Small tributaries of the Nemunas,Nemunas,N,,4,FALSE,3/2/2009,2,3,2009,2.3.2009,89.411026,237,0.84,16,8.1,0.1,11.1,75.975,2.7,,0.25,0.015,1.8,2.065,2.5,0.065,0.1,454,3.6
LTR1,LTR1_2009,LTR1_6.4.2009,54.03061287,23.96838870,Nemunas,Small tributaries of the Nemunas,Nemunas,N,,4,FALSE,4/6/2009,6,4,2009,6.4.2009,89.411026,363,0.99,18,8.2,8.6,9.9,84.833,3.4,,0.22,0.011,1.5,1.731,2.4,0.046,0.083,399,3.5
LTR1,LTR1_2009,LTR1_4.5.2009,54.03061287,23.96838870,Nemunas,Small tributaries of the Nemunas,Nemunas,N,,4,FALSE,5/4/2009,4,5,2009,4.5.2009,89.411026,190,0.78,24,8.2,11.2,10.6,96.804,7,,0.15,0.004,1.4,1.554,2.5,0.03,0.1,391,3.4
LTR1,LTR1_2009,LTR1_1.6.2009,54.03061287,23.96838870,Nemunas,Small tributaries of the Nemunas,Nemunas,N,,4,FALSE,6/1/2009,1,6,2009,1.6.2009,89.411026,164,0.68,21,8.3,19,9.3,100.977,7.2,,0.11,0,1.1,1.21,2.4,0.028,0.087,391,3.5
LTR1,LTR1_2009,LTR1_13.7.2009,54.03061287,23.96838870,Nemunas,Small tributaries of the Nemunas,Nemunas,N,,4,FALSE,7/13/2009,13,7,2009,13.7.2009,89.411026,242,0.83,25,8.2,16.6,8.4,86.687,4.6,,0.11,0.012,0.9,1.022,2.3,0.036,0.095,450,3.4
LTR1,LTR1_2009,LTR1_3.8.2009,54.03061287,23.96838870,Nemunas,Small tributaries of the Nemunas,Nemunas,N,,4,FALSE,8/3/2009,3,8,2009,3.8.2009,89.411026,174,0.73,25,8.4,20.5,10.9,122.06,5.4,,0.09,0.007,0.68,0.777,1.9,0.028,0.09,432,3.5
LTR1,LTR1_2009,LTR1_7.9.2009,54.03061287,23.96838870,Nemunas,Small tributaries of the Nemunas,Nemunas,N,,4,FALSE,9/7/2009,7,9,2009,7.9.2009,89.411026,123,0.64,22,8.3,17,10.1,105.099,5.8,,0.08,0.01,0.63,0.72,1.5,0.021,0.09,436,3.6
LTR1,LTR1_2009,LTR1_5.10.2009,54.03061287,23.96838870,Nemunas,Small tributaries of the Nemunas,Nemunas,N,,4,FALSE,10/5/2009,5,10,2009,5.10.2009,89.411026,116,0.61,20,8.4,9.4,9.9,86.538,3.8,,0.09,0.011,0.67,0.771,1.6,0.03,0.093,456,3.5
